# traces ,# t > 4.5 t,max
107000,62359,239.0827
107100,62385,239.2205
107200,62397,239.3198
107300,62404,239.3943
107400,62416,239.4996
107500,62443,239.6169
107600,62452,239.7661
107700,62455,239.7839
107800,62456,239.9077
107900,62465,240.0228
108000,62457,240.1004
108100,62431,240.146
108200,62467,240.3409
108300,62483,240.5099
108400,62499,240.3815
108500,62481,240.5171
108600,62491,240.7173
108700,62507,240.8101
108800,62526,240.9544
108900,62572,240.9971
109000,62567,241.1532
109100,62580,241.3608
109200,62617,241.3975
109300,62613,241.5719
109400,62623,241.7364
109500,62651,241.7426
109600,62653,241.8852
109700,62685,241.9892
109800,62716,242.1649
109900,62770,242.334
110000,62787,242.3808
110100,62799,242.4938
110200,62827,242.69
110300,62830,242.7391
110400,62861,242.9255
110500,62903,243.0676
110600,62940,243.2391
110700,62932,243.2934
110800,62929,243.358
110900,62920,243.4645
111000,62944,243.6583
111100,62998,243.7592
111200,63023,243.968
111300,63033,244.1201
111400,63017,244.1477
111500,63056,244.2458
111600,63117,244.366
111700,63111,244.4389
111800,63147,244.6235
111900,63157,244.7136
112000,63172,244.8445
112100,63220,245.0378
112200,63243,245.1344
112300,63275,245.1785
112400,63303,245.2896
112500,63330,245.386
112600,63362,245.4922
112700,63387,245.5689
112800,63406,245.7505
112900,63424,245.9255
113000,63448,246.0459
113100,63433,246.1118
113200,63459,246.2262
113300,63497,246.4264
113400,63520,246.5828
113500,63523,246.7495
113600,63530,246.8316
113700,63539,246.9021
113800,63580,247.0913
113900,63584,247.1434
114000,63634,247.2289
114100,63636,247.3068
114200,63626,247.3555
114300,63638,247.4865
114400,63620,247.5975
114500,63637,247.774
114600,63636,247.7541
114700,63629,247.8701
114800,63654,248.0251
114900,63674,248.1366
115000,63706,248.2754
115100,63730,248.4081
115200,63730,248.6106
115300,63745,248.7037
115400,63755,248.77
115500,63770,248.9689
115600,63783,249.0757
115700,63814,249.2534
115800,63804,249.3777
115900,63815,249.4682
116000,63853,249.5417
116100,63861,249.6611
116200,63892,249.7926
116300,63894,249.8954
116400,63933,250.0028
116500,63948,250.1479
116600,63965,250.1549
116700,63998,250.2689
116800,64022,250.3685
116900,64035,250.4858
117000,64090,250.4784
117100,64088,250.6052
117200,64116,250.6781
117300,64161,250.8242
117400,64196,250.9172
117500,64193,251.0515
117600,64177,251.0983
117700,64201,251.1072
117800,64226,251.2273
117900,64231,251.3481
118000,64216,251.3246
118100,64258,251.4535
118200,64235,251.5321
118300,64242,251.6567
118400,64316,251.7358
118500,64338,251.8648
118600,64331,252.0217
118700,64360,252.1891
118800,64381,252.3788
118900,64401,252.44
119000,64451,252.4674
119100,64473,252.5617
119200,64496,252.6866
119300,64531,252.8671
119400,64527,253.0548
119500,64552,253.175
119600,64536,253.2958
119700,64566,253.3567
119800,64572,253.4571
119900,64583,253.588
120000,64598,253.7479
120100,64621,253.7706
120200,64661,253.9168
120300,64656,254.0029
120400,64708,254.1044
120500,64744,254.2051
120600,64780,254.287
120700,64781,254.4003
120800,64764,254.4981
120900,64802,254.5371
121000,64866,254.6267
121100,64877,254.8138
121200,64895,254.8555
121300,64928,254.9994
121400,64946,255.1083
121500,64959,255.2487
121600,64927,255.3641
121700,64960,255.5334
121800,64969,255.5951
121900,64995,255.7285
122000,64999,255.8929
122100,65022,256.015
122200,65043,256.1469
122300,65048,256.1614
122400,65087,256.2314
122500,65099,256.346
122600,65099,256.4801
122700,65150,256.675
122800,65167,256.7993
122900,65194,256.8853
123000,65193,256.9245
123100,65199,257.1044
123200,65189,257.2574
123300,65204,257.2183
123400,65222,257.3679
123500,65223,257.4454
123600,65228,257.4688
123700,65249,257.5855
123800,65247,257.7482
123900,65264,257.9082
124000,65295,258.0735
124100,65297,258.226
124200,65315,258.3774
124300,65340,258.5466
124400,65347,258.6626
124500,65366,258.7971
124600,65363,258.9163
124700,65388,259.0452
124800,65437,258.9863
124900,65471,259.057
125000,65482,259.1911
125100,65511,259.3325
125200,65537,259.4822
125300,65539,259.6516
125400,65564,259.7348
125500,65563,259.8811
125600,65606,260.0113
125700,65644,260.0923
125800,65688,260.2746
125900,65674,260.3878
126000,65701,260.5051
126100,65738,260.7151
126200,65782,260.8151
126300,65788,260.8782
126400,65804,261.0091
126500,65815,261.1522
126600,65821,261.1866
126700,65797,261.3153
126800,65814,261.4394
126900,65833,261.6287
127000,65864,261.7658
127100,65827,261.7634
127200,65829,261.8564
127300,65847,261.7766
127400,65869,261.9377
